pref,year,force.pop,unemployed,mini.wage
佐賀県,2006,444,14.75,611
佐賀県,2007,439,11,619
佐賀県,2008,443,12.75,628
佐賀県,2009,446,17.5,629
佐賀県,2010,441,19.75,642
佐賀県,2011,450,19.25,646
佐賀県,2012,449,17,653
佐賀県,2013,439,15.25,664
佐賀県,2014,441,15,678
佐賀県,2015,440,13.25,694
佐賀県,2016,430,9.5,715
佐賀県,2017,439,8.75,737
佐賀県,2018,442,7.5,762
長崎県,1997,766,24.75,NA
長崎県,1998,755,28.75,NA
長崎県,1999,745,31.75,NA
長崎県,2000,751,35.75,NA
長崎県,2001,751,38,NA
長崎県,2002,745,40.25,605
長崎県,2003,740,39,605
長崎県,2004,732,35.75,606
長崎県,2005,730,33.75,608
長崎県,2006,728,32.25,611
長崎県,2007,725,28.5,619
長崎県,2008,715,28,628
長崎県,2009,705,33.25,629
長崎県,2010,702,35.25,642
長崎県,2011,697,32.5,646
長崎県,2012,688,29.75,653
長崎県,2013,686,28.5,664
長崎県,2014,688,25.25,677
長崎県,2015,687,21.75,694
長崎県,2016,686,19.75,715
長崎県,2017,685,18.25,737
長崎県,2018,692,15.25,762
熊本県,1997,950,34.25,NA
熊本県,1998,952,37.75,NA
熊本県,1999,953,40.75,NA
熊本県,2000,956,44.25,NA
熊本県,2001,956,46.75,NA
熊本県,2002,954,49.25,606
熊本県,2003,955,48.5,606
熊本県,2004,943,45.25,607
熊本県,2005,927,42.5,609
熊本県,2006,917,41,612
熊本県,2007,916,37.5,620
熊本県,2008,912,37.75,628
熊本県,2009,909,42.75,630
熊本県,2010,907,44.5,643
熊本県,2011,902,41.5,647
熊本県,2012,899,39.25,653
熊本県,2013,898,37.75,664
熊本県,2014,903,35,677
熊本県,2015,910,31.75,694
熊本県,2016,915,28.5,715
熊本県,2017,924,27.75,737
熊本県,2018,929,25,762
大分県,1997,635,16,NA
大分県,1998,633,20,NA
大分県,1999,625,22.75,NA
大分県,2000,621,26,NA
大分県,2001,620,28.25,NA
大分県,2002,614,29.75,606
大分県,2003,614,29.5,606
大分県,2004,614,26.75,607
大分県,2005,611,24.75,610
大分県,2006,605,23.75,613
大分県,2007,592,21.75,620
大分県,2008,587,21.75,630
大分県,2009,588,26,631
大分県,2010,587,26.75,643
大分県,2011,585,23.75,647
大分県,2012,580,22.25,653
大分県,2013,582,21.75,664
大分県,2014,583,19.25,677
大分県,2015,587,17.25,694
大分県,2016,594,15,715
大分県,2017,596,14.25,737
大分県,2018,599,12.75,762
宮崎県,1997,616,23,NA
宮崎県,1998,617,25,NA
宮崎県,1999,610,24.5,NA
宮崎県,2000,596,21.5,NA
宮崎県,2001,599,26,NA
宮崎県,2002,600,35.25,605
宮崎県,2003,590,32.25,605
宮崎県,2004,586,28.75,606
宮崎県,2005,583,24,608
宮崎県,2006,581,23,611
宮崎県,2007,571,21.5,619
宮崎県,2008,568,21.25,627
宮崎県,2009,569,28.25,629
宮崎県,2010,566,28.25,642
宮崎県,2011,567,24.75,646
宮崎県,2012,576,25.25,653
宮崎県,2013,575,20.75,664
宮崎県,2014,572,18.25,677
宮崎県,2015,560,18,693
宮崎県,2016,558,12.5,714
宮崎県,2017,558,9.5,737
宮崎県,2018,560,8,762
鹿児島県,1997,896,26,NA
鹿児島県,1998,889,34.25,NA
鹿児島県,1999,885,32,NA
鹿児島県,2000,869,31.25,NA
鹿児島県,2001,839,34.5,NA
鹿児島県,2002,829,36.5,605
鹿児島県,2003,855,43,605
鹿児島県,2004,857,39.5,606
鹿児島県,2005,855,40,608
鹿児島県,2006,860,37.75,611
鹿児島県,2007,852,35,619
鹿児島県,2008,834,34,627
鹿児島県,2009,833,40.25,630
鹿児島県,2010,839,42.5,642
鹿児島県,2011,834,39.75,647
鹿児島県,2012,828,36.75,654
鹿児島県,2013,799,34.5,665
鹿児島県,2014,788,31.25,678
鹿児島県,2015,798,27.75,694
鹿児島県,2016,818,23.25,715
鹿児島県,2017,830,23.5,737
鹿児島県,2018,829,20.25,761
沖縄県,1997,602,36,NA
沖縄県,1998,608,47,NA
沖縄県,1999,616,51.25,NA
沖縄県,2000,629,49.75,NA
沖縄県,2001,630,53.25,NA
沖縄県,2002,625,51.75,604
沖縄県,2003,631,48.5,605
沖縄県,2004,644,49.25,606
沖縄県,2005,649,51.25,608
沖縄県,2006,647,49.75,610
沖縄県,2007,639,47.25,618
沖縄県,2008,648,48,627
沖縄県,2009,666,50,629
沖縄県,2010,671,50,642
沖縄県,2011,663,45.75,645
沖縄県,2012,675,46,653
沖縄県,2013,684,39.25,664
沖縄県,2014,685,36.5,677
沖縄県,2015,704,35.75,693
沖縄県,2016,712,30.75,714
沖縄県,2017,718,26.75,737
沖縄県,2018,732,24.75,762
